Wikipedia movie ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Movie_languages_clean,Movie_countries_clean,Movie_genres_clean,Movie_release_year,Movie_release_date_datetime,movie_title,movie_revenue,budget,id,release_date,language_count
883489,03ljzq,Mona Lisa Smile,2003-12-19,141337989.0,117.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/0hj3n34"": ""Feminist Film"", ""/m/01j1n2"": ""Coming of age"", ""/m/04xvlr"": ""Period piece""}","['Italian Language', 'English Language']",['United States of America'],"['Drama', 'Romance Film', 'Feminist Film', 'Coming of age', 'Period piece']",2003,2003-12-19,Mona Lisa Smile,63860942.0,65000000.0,11820,2003-12-19,2
3702581,09w7d0,Holy Man,1998-10-09,12069719.0,114.0,"{""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/0hj3nby"": ""Media Satire"", ""/m/06qm3"": ""Screwball comedy"", ""/m/01z4y"": ""Comedy""}","['German Language', 'English Language', 'Spanish Language']",['United States of America'],"['Parody', 'Media Satire', 'Screwball comedy', 'Comedy']",1998,1998-10-09,Holy Man,12069719.0,60000000.0,9713,1998-10-08,3
1211241,04hmvx,Super Troopers,2001-01-19,18492362.0,100.0,"{""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery"", ""/m/01hwc6"": ""Absurdism"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}","['German Language', 'English Language']",['United States of America'],"['Crime Fiction', 'Mystery', 'Absurdism', 'Comedy', 'Slapstick']",2001,2001-01-19,Super Troopers,18492362.0,3000000.0,39939,2001-01-18,2
708479,034m7p,Blue Streak,1999-09-17,117758500.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/01z4y"": ""Comedy""}",['English Language'],"['United States of America', 'Germany']","['Crime Fiction', 'Action/Adventure', 'Action', 'Comedy']",1999,1999-09-17,Blue Streak,68518533.0,65000000.0,11001,1999-09-17,1
23778776,06zjsc_,The Adjustment Bureau,2011-02-26,62495645.0,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/06n90"": ""Science Fiction"", ""/m/03rzvv"": ""Romantic fantasy""}",['English Language'],['United States of America'],"['Thriller', 'Romance Film', 'Drama', 'Science Fiction', 'Romantic fantasy']",2011,2011-02-26,The Adjustment Bureau,62495645.0,50200000.0,38050,2011-03-03,1
31510744,0hgky8t,The Lucky One,2012-04-19,91557138.0,101.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",['English Language'],['United States of America'],"['Romance Film', 'Drama']",2012,2012-04-19,The Lucky One,60457138.0,25000000.0,77877,2012-04-19,1
3701905,09w6br,The Polar Express,2004-10-21,306431864.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01zhp"": ""Computer Animation"", ""/m/0hqxf"": ""Family Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/0bwgnb"": ""Christmas movie"", ""/m/0hcr"": ""Animation""}",['English Language'],['United States of America'],"['Computer Animation', 'Family Film', 'Fantasy', 'Christmas movie', 'Animation']",2004,2004-10-21,The Polar Express,162775358.0,165000000.0,5255,2004-11-10,1
16794053,0406c9s,Quarantine,2008-10-10,41319906.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/02n4kr"": ""Mystery"", ""/m/01drsx"": ""Disaster""}",['English Language'],['United States of America'],"['Thriller', 'Science Fiction', 'Horror', 'Zombie Film', 'Mystery', 'Disaster']",2008,2008-10-10,Quarantine,31691811.0,12000000.0,13812,2008-10-10,1
6012106,0fkjkr,Joe Somebody,2001-12-21,24516772.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3nyp"": ""Workplace Comedy""}",['English Language'],['United States of America'],"['Romantic comedy', 'Drama', 'Comedy-drama', 'Comedy', 'Workplace Comedy']",2001,2001-12-21,Joe Somebody,22771646.0,38000000.0,12312,2001-12-21,1
89631,0mbql,The Goonies,1985-06-07,61389680.0,114.0,"{""/m/012w70"": ""Cantonese"", ""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/05p553"": ""Comedy film"", ""/m/0bj8m2"": ""Children's"", ""/m/0hj3msd"": ""Adventure Comedy"", ""/m/0hj3n26"": ""Family-Oriented Adventure"", ""/m/0hqxf"": ""Family Film"", ""/m/02b5_l"": ""Teen""}","['Cantonese', 'Italian Language', 'English Language', 'Spanish Language']",['United States of America'],"['Adventure', 'Comedy film', ""Children's"", 'Adventure Comedy', 'Family-Oriented Adventure', 'Family Film', 'Teen']",1985,1985-06-07,The Goonies,61389680.0,19000000.0,9340,1985-06-06,4
